Node,Community
Microbacterium sp. NIBRBAC000506063,0
Metabacillus elymi,0
Microbacterium sp. zg-B96,0
Microbacterium sp. No. 7,0
Microbacterium sp. 10M-3C3,0
Streptomyces atratus,1
Microbacterium esteraromaticum,2
Bacillus glycinifermentans,2
Micromonospora sp. WMMA1976,2
Microbacterium sp. BDGP8,2
Streptomyces sp. NBC_00988,2
Agromyces mangrovi,2
Streptomyces lunaelactis,2
Streptomyces sp. AM 3-1-1,2
Microbacterium hominis,2
Gulosibacter molinativorax,2
Dactylosporangium vinaceum,2
Curtobacterium sp. MCSS17_016,2
Actinomadura graeca,2
Rathayibacter iranicus,2
Microbacterium sp. zg-Y625,2
Agromyces archimandritae,2
Agrococcus sp. ProA11,2
Actinoplanes derwentensis,2
Streptomyces sp. NA13,2
Streptomyces sp. NBC_01336,2
Arthrobacter sp. D5-1,2
Agrococcus sp. SL85,2
Streptomyces sp. 2-1,2
Paramicrobacterium fandaimingii,2
Streptomyces sp. NBC_00490,2
Microbacterium sp. 1.5R,2
Arthrobacter alpinus,2
Microbispora hainanensis,2
Microbacterium neungamense,2
Streptomyces jietaisiensis,2
Streptomyces sp. NBC_01340,2
Microbacterium terricola,2
Curtobacterium poinsettiae,2
Kocuria turfanensis,2
Curtobacterium sp. MR_MD2014,2
Arthrobacter sulfonylureivorans,2
Mycobacterium tuberculosis,2
Arthrobacter sp. FW306-2-2C-D06B,2
Arthrobacter sp. DNA4,2
Curtobacterium sp. MCLR17_054,2
Microbacterium sp. EF45047,2
Streptomyces sp. NBC_00353,2
Metabacillus indicus,2
Rathayibacter sp. VKM Ac-2801,2
Kocuria rosea,2
Glutamicibacter sp. ZJUTW,2
Kineococcus radiotolerans,3
Micromonospora inositola,3
Streptomyces hundungensis,4
Heyndrickxia vini,5
Microbacterium wangchenii,6
Modestobacter italicus,7
Natronosporangium hydrolyticum,7
Microbacterium proteolyticum,7
Phytohabitans flavus,7
Streptosporangium roseum,7
Lysinibacillus louembei,7
Thermobispora bispora,7
Solwaraspora sp. WMMD791,7
Blastococcus saxobsidens,7
Solwaraspora sp. WMMA2056,7
Microbacterium oryzae,7
Spirillospora sp. NBC_01491,7
Actinocatenispora thailandica,7
Bacillus sp. DX3.1,7
Nonomuraea sp. NBC_00507,7
Longispora sp. K20-0274,7
Peribacillus frigoritolerans,7
Bacillus sp. THAF10,7
Actinomadura parvosata,7
Glutamicibacter mishrai,8
Streptomyces sp. NBC_00963,8
Microbacterium amylolyticum,8
