overlapping_otus
Bosea sp. (in: a-proteobacteria)
Bordetella hinzii
Croceicoccus marinus
Thioclava electrotropha
uncultured Pleomorphomonas sp.
Sphingopyxis fribergensis
Bosea sp. NBC_00550
Kaistia sp. 32K
Aquabacter sp. L1I39
Sphingomonas psychrotolerans
Saccharomonospora azurea
Cupriavidus sp. EM10
Sphingobium amiense
Bosea sp. ANAM02
Sphingosinicella microcystinivorans
Bosea sp. PAMC 26642
Sphingomonas sp. M1-B02
Bordetella trematum
Allosphingosinicella indica
Methylobacterium radiotolerans
Sphingomonas sp. SUN039
Noviherbaspirillum sp. ST 5-3
Gordonia sp. NB41Y
Rhodobacter xanthinilyticus
Porphyrobacter sp. CACIAM 03H1
Acidiphilium multivorum
Hankyongella ginsenosidimutans
Marinovum algicola
Methylobacterium currus
Erythrobacter litoralis
Erythrobacter aureus
Acidocella sp. MX-AZ03
Microbacterium sp. 4R-513
Erythrobacter sp. HL-111
Terrirubrum flagellatum
Herbiconiux sp. UC225_62
Aurantiacibacter gangjinensis
Sphingomonas morindae
Sphingosinithalassobacter sp. CS137
Alteriqipengyuania flavescens
Sphingomicrobium flavum
Defluviimonas sp. SAOS-178_SWC
Delftia tsuruhatensis
Methylobacterium radiodurans
Komagataeibacter europaeus
Starkeya sp. ORNL1
Methylovirgula sp. 4M-Z18
Sphingobium phenoxybenzoativorans
Celeribacter indicus
Microbacterium sp. MM2322
Sphingomonas sp. LY54
Methylobacterium nodulans
Pelagerythrobacter marinus
Qipengyuania citrea
Azorhizobium caulinodans
Sphingomonas sp. CV7422
Methylosinus trichosporium
Microbacterium marinum
Qipengyuania spongiae
Phreatobacter stygius
Tardibacter chloracetimidivorans
Sulfitobacter faviae
Sphingopyxis sp. YF1
Neotabrizicola shimadae
Terrabacter sp. C0L_2
Microbacterium proteolyticum
Palleronia sp. LCG004
Nostocoides sp. HKS02
Roseivivax sp. THAF30
Mycolicibacterium mengxianglii
Klebsiella quasipneumoniae
Methylobacterium oryzae
Paracoccus aminophilus
Acidovorax sp. A79
